Feeding Record ID,User ID,User Name,Dolphin ID,Dolphin Name,Body Condition Score,Weight Measured,Kcal Calculations,Blood Hydration,Fish Quality,Fish Variety,Body Condition Score Comments,Weight Measured Comments,Kcal Calculations Comments,Blood Hydration Comments,Fish Quality Comments,Fish Variety Comments,Created At,Updated At
1,1,,1,Dolly,1,165,2,1,1,1,,,,,,,Fri Mar 08 2024 11:54:32 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 11:54:32 GMT+0100 (Mitteleuropäische Normalzeit)
8,1,,1,Dolly,1,,,,,,,,,,,,Fri Mar 08 2024 12:40:16 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 12:40:16 GMT+0100 (Mitteleuropäische Normalzeit)
15,1,,1,Dolly,2,140,,,,,test comment,,,,,,Fri Mar 08 2024 13:06:17 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 13:06:17 GMT+0100 (Mitteleuropäische Normalzeit)
22,1,,1,Dolly,2,,,,,,,,,,,,Fri Mar 08 2024 14:44:24 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:44:24 GMT+0100 (Mitteleuropäische Normalzeit)
29,1,,1,Dolly,,,1,,,,,,,,,,Fri Mar 08 2024 14:48:26 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:48:26 GMT+0100 (Mitteleuropäische Normalzeit)
36,1,,1,Dolly,,,,,,,,,,,,,Fri Mar 08 2024 14:53:35 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:53:35 GMT+0100 (Mitteleuropäische Normalzeit)
43,1,,1,Dolly,1,,1,,,,,,,,,,Fri Mar 08 2024 16:06:21 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 16:06:21 GMT+0100 (Mitteleuropäische Normalzeit)
50,1,,1,Dolly,,,,,,,,,,,,,Fri Mar 08 2024 16:36:36 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 16:36:36 GMT+0100 (Mitteleuropäische Normalzeit)
57,1,,1,Dolly,,,,,,,,,,,,,Fri Mar 08 2024 17:03:55 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 17:03:55 GMT+0100 (Mitteleuropäische Normalzeit)
64,1,,1,Dolly,,,,,1,,,,,,,,Fri Mar 08 2024 18:55:07 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 18:55:07 GMT+0100 (Mitteleuropäische Normalzeit)
71,1,,1,Dolly,1,,,,,,,,,,,,Sat Mar 09 2024 10:44:40 GMT+0100 (Mitteleuropäische Normalzeit),Sat Mar 09 2024 10:44:40 GMT+0100 (Mitteleuropäische Normalzeit)
78,1,,1,Dolly,,,,,,,,,,,,,Sat Mar 09 2024 10:44:55 GMT+0100 (Mitteleuropäische Normalzeit),Sat Mar 09 2024 10:44:55 GMT+0100 (Mitteleuropäische Normalzeit)
85,1,,1,Dolly,,,,,1,,,,,,,,Sat Mar 09 2024 10:45:20 GMT+0100 (Mitteleuropäische Normalzeit),Sat Mar 09 2024 10:45:20 GMT+0100 (Mitteleuropäische Normalzeit)
92,1,,1,Dolly,,,,,,,,,,,,,Sat Mar 09 2024 10:45:51 GMT+0100 (Mitteleuropäische Normalzeit),Sat Mar 09 2024 10:45:51 GMT+0100 (Mitteleuropäische Normalzeit)
99,1,,1,Dolly,1,,,,,,,,,,,,Sat Mar 09 2024 10:46:17 GMT+0100 (Mitteleuropäische Normalzeit),Sat Mar 09 2024 10:46:17 GMT+0100 (Mitteleuropäische Normalzeit)
106,1,,1,Dolly,,,,,,,,,,,,,Sat Mar 09 2024 10:53:22 GMT+0100 (Mitteleuropäische Normalzeit),Sat Mar 09 2024 10:53:22 GMT+0100 (Mitteleuropäische Normalzeit)
113,1,,1,Dolly,,,,,,,,,,,,,Sun Mar 10 2024 10:16:49 GMT+0100 (Mitteleuropäische Normalzeit),Sun Mar 10 2024 10:16:49 GMT+0100 (Mitteleuropäische Normalzeit)
120,1,,1,Dolly,,,,,,,,,,,,,Sun Mar 10 2024 16:32:54 GMT+0100 (Mitteleuropäische Normalzeit),Sun Mar 10 2024 16:32:54 GMT+0100 (Mitteleuropäische Normalzeit)
127,4,Daniel,1,Dolly,,,,,,,,,,,,,Sun Mar 10 2024 19:39:04 GMT+0100 (Mitteleuropäische Normalzeit),Sun Mar 10 2024 19:39:04 GMT+0100 (Mitteleuropäische Normalzeit)
